problem,evidence,business_impact,exposure_inr,recommendation,priority,owner
Stale opportunities,"2,017 of 11,711 open/stalled deals","₹1,73,55,64,584 potential bookings exposed; not recoverable revenue",1735564584.28,Contact the customer within two business days,High,Sales Manager
High-value risky deals,"167 of 11,711 open/stalled deals","₹55,68,12,536 potential bookings exposed; not recoverable revenue",556812536.3499999,Arrange manager and commercial review,Critical,Sales Manager
Expected close approaching or overdue,"2,344 of 11,711 open/stalled deals","₹1,59,02,27,848 potential bookings exposed; not recoverable revenue",1590227848.48,Validate procurement milestones and update the close plan,High,Sales Manager
No scheduled future action,"5,352 of 11,711 open/stalled deals","₹4,47,30,17,712 potential bookings exposed; not recoverable revenue",4473017711.58,Schedule a specific follow-up date,High,Sales Manager
Low engagement,"2,608 of 11,711 open/stalled deals","₹2,12,56,53,534 potential bookings exposed; not recoverable revenue",2125653534.23,Identify an active customer sponsor,Medium,Sales Manager
Lower observed conversion: Outbound,"17.7% resolved-deal win rate; 49,655 total opportunities","₹2,12,05,18,839 current pipeline in this cohort",2120518838.95,Review lead_source qualification and deal mix before changing investment,Medium,Revenue Operations
Lower observed conversion: South,"23.8% resolved-deal win rate; 49,976 total opportunities","₹2,31,28,67,304 current pipeline in this cohort",2312867304.4799995,Review region qualification and deal mix before changing investment,Medium,Revenue Operations
Lower observed conversion: Data Advisory,"24.1% resolved-deal win rate; 49,573 total opportunities","₹3,18,80,29,235 current pipeline in this cohort",3188029235.2599998,Review product qualification and deal mix before changing investment,Medium,Revenue Operations
Stage bottleneck: Negotiation,"25.5% lost among 60,621 observed exits; 1,327 visits still pending",Qualification or commercial process may constrain conversion; no causal effect estimated,0.0,Review a sample of lost deals and validate stage exit criteria,High,Sales Director
Largest lost-value reason: Competitor selected,"36,831 lost deals; 26.2% of lost value","₹31,44,85,22,647 historical potential bookings lost",31448522647.42,Audit reason coding and run a targeted loss review,Medium,Commercial Lead
Largest forecast contributors,Top ten deals contribute 1.46% of weighted active pipeline,"₹6,20,21,382 weighted bookings depend on these close plans",62021381.63680711,Review the top-ten deal plans and executive sponsorship weekly,Medium,Sales Director
Region below elapsed-month target: East,"₹2,10,60,86,349 booked versus ₹2,38,84,50,864 YTD target; 88.2% attainment","₹28,23,64,515 booking shortfall",282364515.27,"Reconcile close timing, capacity and qualification with the regional manager",High,Regional Sales Manager
Region below elapsed-month target: North,"₹2,19,93,47,066 booked versus ₹2,27,91,62,536 YTD target; 96.5% attainment","₹7,98,15,470 booking shortfall",79815470.36000013,"Reconcile close timing, capacity and qualification with the regional manager",High,Regional Sales Manager
Region below elapsed-month target: South,"₹2,02,42,45,344 booked versus ₹2,45,75,72,792 YTD target; 82.4% attainment","₹43,33,27,448 booking shortfall",433327447.5799999,"Reconcile close timing, capacity and qualification with the regional manager",High,Regional Sales Manager
Region below elapsed-month target: West,"₹2,11,32,45,702 booked versus ₹2,41,34,05,552 YTD target; 87.6% attainment","₹30,01,59,850 booking shortfall",300159850.1300001,"Reconcile close timing, capacity and qualification with the regional manager",High,Regional Sales Manager
